Age,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Gender_Male,Gender_Other,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_UK,Country_USA,Signup_Quarter_Q2,Signup_Quarter_Q3,Signup_Quarter_Q4
20.0,2.7,27.0,49.7,14.4,29.3,11.0,20.0,136.08,81.0,19.4,0.1,43.0,2.0,9.0,65.3,37.3,2.0,3014.34,1725.0,1,False,False,False,False,False,False,False,False,True,False,True,False
31.0,3.3,18.0,40.1,12.8,45.5,7.0,21.0,113.36,39.0,22.1,2.2,38.0,5.0,8.0,68.3,45.2,2.0,1935.29,2465.0,0,False,False,False,False,False,False,False,False,False,False,True,False
39.0,3.9,14.0,19.6,11.6,65.3,7.0,10.0,218.46,15.0,50.9,16.2,23.3,8.0,6.0,43.5,25.4,3.0,1846.48,2511.0,0,False,False,False,False,False,False,False,True,False,False,False,False
42.0,0.4,17.0,34.6,8.5,48.7,8.0,12.0,131.02,16.0,45.5,7.5,21.2,3.0,3.0,24.4,21.3,1.0,1709.74,3002.0,0,True,False,False,False,False,False,False,False,True,True,False,False
34.0,4.4,12.0,42.1,13.3,38.3,8.0,17.0,65.22,10.0,32.3,5.9,23.8,1.0,2.0,38.8,28.8,2.0,1226.33,1889.0,0,True,False,False,False,False,False,True,False,False,False,True,False
37.0,7.5,29.0,48.9,15.9,27.8,14.0,22.0,134.1,34.0,22.2,5.1,33.6,1.0,10.0,59.0,39.6,5.0,3367.15,2544.0,1,True,False,False,False,True,False,False,False,False,False,True,False
25.0,4.9,17.0,27.6,14.1,42.1,3.0,19.5,172.03,1.0,40.8,7.2,13.1,7.0,4.0,32.8,19.9,1.0,2672.57,3723.0,1,True,False,False,False,False,False,True,False,False,False,False,True
40.0,3.2,18.0,27.0,9.9,51.5,1.0,11.0,145.04,68.0,62.0,7.9,0.0,1.0,1.0,27.2,7.5,2.0,1506.54,2966.0,0,True,False,False,False,False,False,False,False,True,False,True,False
40.0,2.2,26.0,32.6,10.5,53.8,8.0,15.0,61.15,4.0,65.0,7.6,33.5,12.0,5.0,26.4,18.1,2.0,935.84,2753.0,0,False,False,False,False,False,False,False,True,False,True,False,False
36.0,1.4,0.0,33.0,5.1,75.1,4.0,6.0,199.48,43.0,47.8,2.1,11.6,6.0,1.0,23.9,19.9,3.0,1133.62,1416.0,0,True,False,False,False,False,False,False,False,True,True,False,False
20.0,5.0,24.0,56.2,14.5,22.7,9.0,19.0,66.29,66.0,15.3,8.2,30.4,2.0,5.0,62.5,33.0,1.0,1339.58,4461.0,1,True,False,False,False,False,False,False,False,False,False,True,False
29.0,4.4,14.0,22.7,8.6,35.2,5.0,14.0,121.7,1.0,9.3,8.3,3.4,5.0,4.0,35.0,24.3,3.0,1851.75,1098.0,0,False,False,False,False,False,False,False,False,True,False,True,False
32.0,0.5,15.0,28.0,8.0,55.4,4.0,14.3,107.02,91.0,33.839999999999996,8.7,11.0,3.0,2.0,16.3,25.6,3.0,1399.19,2618.0,0,True,False,False,False,False,False,False,True,False,False,False,True
18.0,0.4,14.0,35.9,13.2,51.9,5.0,16.0,169.79,22.0,26.7,4.4,38.9,4.0,3.0,41.0,28.2,3.0,3156.4,2965.0,1,True,False,False,False,False,False,False,False,True,True,False,False
49.0,2.1,18.0,46.9,14.9,45.4,9.0,29.9,51.36,3.0,22.08,1.3,22.9,6.0,2.0,25.2,25.6,2.0,1156.03,2612.0,0,True,False,False,False,False,False,False,False,True,False,False,True
24.0,3.2,3.0,22.4,8.3,73.5,5.0,10.4,103.77,17.0,34.92,4.9,9.3,4.0,1.0,0.2,12.3,1.0,984.68,2218.0,0,True,False,False,False,True,False,False,False,False,False,False,True
23.0,0.3,26.0,36.7,8.3,46.5,9.0,14.0,82.7,20.0,60.5,3.4,35.2,4.0,3.0,53.7,32.2,3.0,959.75,3218.0,0,True,False,False,False,True,False,False,False,False,True,False,False
54.0,4.0,20.0,37.4,15.3,56.9,7.0,22.0,152.76,12.0,32.3,0.3,30.0,3.0,9.0,33.9,36.4,2.0,2721.55,4435.0,0,False,False,True,False,False,False,False,False,False,True,False,False
37.0,3.8,6.0,32.8,10.5,51.2,7.0,13.0,119.3,6.0,16.9,16.6,8.8,7.0,4.0,48.4,10.9,1.0,1333.02,1.0,0,True,False,False,False,False,False,False,False,True,False,True,False
18.0,0.7,7.0,23.7,6.6,48.1,6.0,11.0,83.69,10.0,27.2,6.9,8.9,11.0,4.0,44.2,20.3,1.0,874.59,2660.0,1,True,False,False,False,False,False,False,True,False,True,False,False
47.0,0.9,5.0,11.2,1.0,63.2,0.0,5.0,171.12,36.0,36.6,1.0,0.0,3.0,0.0,16.4,4.0,2.0,716.0,1903.0,1,True,False,False,False,False,False,False,False,True,True,False,False
39.0,9.3,12.0,23.5,9.5,78.3,6.0,10.0,63.25,3.0,35.8,2.7,31.4,5.0,4.0,23.2,21.8,2.0,636.69,1636.0,0,True,False,False,False,False,False,False,False,True,True,False,False
39.0,0.9,17.0,39.1,11.2,30.7,9.0,18.0,133.43,32.0,61.8,3.1,23.9,3.0,7.0,39.1,36.7,2.0,2162.26,2526.0,0,True,False,False,False,False,False,False,True,False,False,True,False
35.0,1.3,12.0,27.0,9.3,61.3,3.0,6.0,49.46,43.0,75.6,5.3,0.0,3.0,0.0,27.1,18.7,2.0,261.59,829.0,0,False,False,False,False,True,False,False,False,False,True,False,False
42.0,1.6,2.0,13.8,9.2,61.8,2.0,7.0,70.73,6.0,32.1,2.9,32.6,8.0,0.0,38.0,16.8,3.0,441.47,2199.0,0,True,False,True,False,False,False,False,False,False,False,True,False
55.0,5.3,18.0,42.1,9.5,62.0,8.0,24.7,108.17,74.0,61.92,1.9,41.7,4.0,5.0,36.6,29.4,4.0,1807.29,3579.0,0,True,False,False,False,False,False,False,False,True,False,False,True
41.0,3.4,23.0,44.6,14.2,46.8,5.0,15.0,111.93,48.0,25.1,17.0,39.2,4.0,1.0,35.2,27.8,1.0,1862.75,2442.0,0,True,False,False,False,False,False,False,False,True,False,True,False
44.0,1.8,6.0,10.0,3.6,72.2,3.0,4.0,136.59,31.0,62.4,6.7,20.7,5.0,0.0,0.0,12.9,1.0,512.69,263.0,0,False,False,True,False,False,False,False,False,False,False,False,False
39.0,2.1,14.0,32.7,13.2,46.2,4.0,18.0,62.16,91.0,47.9,12.0,35.8,5.0,5.0,45.1,26.4,3.0,1308.33,1454.0,0,False,False,False,True,False,False,False,False,False,False,True,False
49.0,2.5,14.0,37.1,9.7,36.0,4.0,19.5,103.66,20.0,31.08,9.9,30.9,7.0,4.0,28.7,20.9,2.0,1442.5,1957.0,0,False,False,False,False,False,False,False,False,False,False,False,True
38.0,2.5,18.0,34.4,12.7,45.7,5.0,19.5,241.2,13.0,101.52,12.1,28.1,8.0,3.0,45.6,25.2,1.0,3184.95,798.0,1,False,False,False,False,False,False,False,False,True,False,False,True
35.0,2.8,21.0,40.1,14.1,42.0,9.0,26.0,55.46,42.0,19.8,5.5,41.7,3.0,3.0,49.2,34.2,1.0,1467.19,5993.0,0,True,False,True,False,False,False,False,False,False,False,True,False
32.0,4.0,1.0,13.3,5.0,73.1,2.0,15.6,96.04,2.0,57.84,4.7,14.9,3.0,2.0,4.5,5.8,1.0,1272.3,1013.0,0,False,False,False,False,True,False,False,False,False,False,False,True
36.0,1.2,10.0,17.3,2.8,62.2,1.0,6.0,225.02,32.0,75.4,8.8,21.6,7.0,3.0,0.6,2.4,1.0,1160.54,2249.0,0,True,False,False,True,False,False,False,False,False,True,False,False
42.0,3.4,7.0,25.9,12.2,62.5,4.0,10.0,150.38,24.0,71.3,7.0,23.3,2.0,2.0,4.7,18.9,2.0,1345.57,2656.0,0,True,False,False,False,False,False,False,False,True,True,False,False
41.0,2.7,20.0,34.0,12.1,46.0,8.0,20.0,78.31,80.0,22.8,5.1,37.4,4.0,5.0,35.4,26.5,3.0,1834.24,3422.0,0,True,False,True,False,False,False,False,False,False,True,False,False
37.0,4.1,13.0,36.1,10.4,48.0,4.0,13.0,100.29,76.0,18.1,18.7,39.3,5.0,4.0,59.8,27.7,2.0,1082.06,2598.0,0,False,False,False,False,False,False,False,False,True,True,False,False
67.0,0.8,27.0,33.5,14.4,39.5,9.0,19.0,86.61,14.0,36.8,3.1,27.1,2.0,6.0,35.9,28.8,2.0,1638.41,2416.0,0,False,False,False,False,False,False,False,True,False,True,False,False
23.0,1.1,12.0,31.6,13.1,45.1,2.0,17.0,104.81,66.0,50.0,6.7,37.8,5.0,9.0,37.8,26.8,3.0,1495.49,2757.0,0,True,False,True,False,False,False,False,False,False,False,True,False
51.0,1.7,8.0,24.0,6.5,51.5,5.0,12.0,125.34,34.0,55.7,3.1,37.8,3.0,1.0,69.0,11.5,2.0,1651.78,1607.0,0,False,False,False,False,True,False,False,False,False,False,False,False
47.0,2.1,9.0,16.3,5.1,62.3,5.0,6.0,121.45,1.0,21.6,2.7,12.8,8.0,2.0,10.0,15.5,1.0,725.92,3482.0,0,False,False,False,False,False,False,False,True,False,False,True,False
26.0,0.9,10.0,26.9,6.9,67.8,2.0,6.0,79.12,11.0,26.7,6.4,2.2,4.0,3.0,13.1,11.2,3.0,468.91,0.0,0,False,True,False,False,False,False,False,False,True,False,True,False
38.0,0.8,10.0,13.4,7.5,80.6,3.0,5.0,83.66,34.0,46.5,7.3,20.4,8.0,0.0,0.0,0.5,3.0,426.96,382.0,0,True,False,False,False,False,False,False,False,True,True,False,False
43.0,3.4,13.0,26.6,11.2,63.1,4.0,8.0,96.62,65.0,30.3,6.7,6.3,5.0,3.0,29.4,19.4,2.0,824.37,1549.0,0,True,False,False,False,False,False,False,False,False,False,True,False
23.0,0.6,8.0,29.6,8.5,37.2,5.0,19.5,248.53,6.0,39.959999999999994,0.7,34.9,4.0,3.0,27.9,33.2,2.0,3319.56,4041.0,1,False,False,False,False,False,False,False,True,False,False,False,True
53.0,1.5,18.0,23.8,9.4,70.3,2.0,7.0,104.72,61.0,16.2,9.1,0.0,10.0,1.0,14.0,8.8,1.0,709.07,1653.0,1,False,False,False,False,False,False,False,False,True,False,True,False
18.0,1.9,8.0,18.1,1.2,70.5,0.0,2.0,220.17,5.0,76.6,8.4,2.3,6.0,1.0,0.0,13.5,2.0,433.88,1658.0,1,False,False,False,False,False,False,False,False,True,True,False,False
44.0,3.7,7.0,20.6,4.9,59.1,3.0,10.4,128.84,8.0,70.08,10.8,7.2,8.0,1.0,0.3,17.1,2.0,1145.79,0.0,0,True,False,False,False,False,False,False,False,True,False,False,True
41.0,1.2,5.0,13.5,6.8,63.1,5.0,7.0,76.06,42.0,61.5,9.0,23.9,8.0,3.0,45.6,2.2,5.0,428.69,885.0,0,True,False,False,False,False,False,False,False,True,True,False,False
42.0,4.7,3.0,17.7,7.4,59.2,1.0,7.800000000000001,178.42,5.0,20.28,1.1,3.6,10.0,3.0,8.5,16.9,2.0,1022.78,1549.0,0,True,False,False,False,False,False,False,False,True,False,False,True
41.0,2.4,0.0,2.6,1.0,63.3,0.0,4.0,86.29,27.0,31.6,6.2,1.2,8.0,0.0,6.7,9.4,2.0,278.08,0.0,1,False,False,False,False,False,False,False,False,True,True,False,False
43.0,5.2,18.0,25.9,7.0,65.4,2.0,4.0,220.22,23.0,30.8,2.8,23.3,5.0,2.0,47.5,13.0,4.0,849.48,2737.0,0,True,False,False,False,False,False,False,False,False,True,False,False
47.0,2.4,6.0,18.8,5.1,81.3,1.0,6.0,80.79,2.0,34.0,6.4,4.9,8.0,1.0,25.3,19.0,1.0,538.51,1101.0,0,True,False,True,False,False,False,False,False,False,False,False,False
60.0,1.1,4.0,17.3,8.4,60.9,7.0,16.900000000000002,69.26,6.0,16.919999999999998,10.6,12.3,3.0,1.0,14.9,19.4,2.0,823.46,301.0,0,True,False,False,False,False,False,False,False,False,False,False,True
28.0,0.8,0.0,18.7,7.2,58.6,2.0,13.0,81.19,2.0,58.1,22.8,6.3,4.0,3.0,0.0,7.2,2.0,1250.79,1058.0,0,True,False,False,False,False,False,True,False,False,True,False,False
37.0,2.2,16.0,25.8,9.2,46.1,3.0,14.0,145.64,51.0,17.9,25.6,36.4,7.0,2.0,19.1,13.0,1.0,2251.89,2150.0,1,True,False,True,False,False,False,False,False,False,True,False,False
47.0,1.0,8.0,25.7,6.7,37.5,8.0,16.0,106.33,37.0,46.8,4.5,12.0,9.0,1.0,56.6,25.8,1.0,2012.61,2365.0,1,False,False,False,True,False,False,False,False,False,True,False,False
55.0,1.3,13.0,13.4,5.4,49.8,0.0,7.0,160.95,21.0,44.5,5.7,5.4,4.0,2.0,0.0,8.7,3.0,1078.29,1191.0,0,True,False,False,False,False,False,True,False,False,True,False,False
27.0,2.7,12.0,19.7,13.1,70.2,1.0,8.0,137.98,62.0,83.8,2.9,21.2,5.0,2.0,36.8,7.2,2.0,1017.04,271.0,0,False,False,False,True,False,False,False,False,False,False,True,False
43.0,1.3,1.0,17.1,5.8,69.7,2.0,6.0,133.96,18.0,14.7,0.8,12.0,5.0,3.0,10.1,10.9,1.0,679.44,1334.0,0,False,False,False,False,False,True,False,False,False,False,True,False
27.0,10.0,16.0,36.5,15.4,50.9,4.0,14.0,186.92,10.0,58.2,6.0,18.7,3.0,4.0,22.1,17.2,2.0,2747.81,1057.0,0,False,False,False,False,False,False,False,False,True,False,True,False
32.0,0.1,14.0,32.2,6.7,42.5,3.0,27.0,85.25,7.0,13.3,7.1,19.6,4.0,7.0,33.4,23.8,2.0,2109.93,2378.0,0,True,False,False,False,False,False,False,True,False,False,True,False
40.0,3.5,24.0,59.9,16.3,12.7,11.0,25.0,170.39,19.0,65.3,15.9,44.9,0.0,7.0,80.2,34.0,1.0,4153.66,4414.0,0,False,False,False,False,False,False,False,True,False,False,False,False
27.0,0.4,6.0,16.8,8.4,57.7,1.0,9.1,102.95,21.0,61.67999999999999,6.6,6.1,4.0,1.0,14.1,15.9,2.0,853.07,0.0,0,True,False,True,False,False,False,False,False,False,False,False,True
50.0,9.0,14.0,30.1,12.6,44.4,6.0,14.0,74.87,2.0,58.1,2.0,26.7,6.0,2.0,27.8,23.2,1.0,867.75,2214.0,0,True,False,False,True,False,False,False,False,False,False,True,False
21.0,0.9,16.0,27.9,10.2,82.1,5.0,9.0,133.08,23.0,68.9,10.2,0.0,11.0,3.0,2.9,10.0,1.0,1258.94,1838.0,1,True,False,False,False,True,False,False,False,False,True,False,False
75.0,1.0,6.0,28.3,4.9,60.4,2.0,11.0,62.36,78.0,27.6,12.7,33.5,4.0,1.0,5.9,16.0,4.0,595.05,3097.0,0,True,False,False,False,False,False,False,False,True,False,False,False
44.0,3.7,26.0,49.3,11.2,49.3,9.0,16.0,117.68,66.0,39.7,0.8,45.5,3.0,4.0,68.0,31.7,2.0,1652.01,2761.0,0,False,False,False,False,False,False,False,False,False,True,False,False
51.0,2.4,2.0,16.2,7.9,67.1,4.0,6.0,59.86,12.0,63.2,3.9,22.2,9.0,3.0,1.8,11.4,3.0,288.45,1484.0,0,True,False,False,True,False,False,False,False,False,False,True,False
28.0,3.4,10.0,37.0,11.1,24.5,7.0,15.0,114.67,62.0,50.4,1.1,28.9,5.0,7.0,27.7,27.1,1.0,1537.02,2365.0,0,True,False,False,False,False,False,True,False,False,False,False,False
46.0,2.4,10.0,15.6,2.1,78.9,1.0,14.3,264.62,20.0,43.92,4.0,20.9,8.0,1.0,20.6,8.5,2.0,2953.83,938.0,1,True,False,False,False,False,False,False,False,True,False,False,True
32.0,2.8,8.0,25.9,11.8,41.7,5.0,30.0,118.81,112.0,40.6,0.9,18.5,3.0,2.0,25.0,20.0,1.0,3606.75,3072.0,0,True,False,False,False,False,False,False,False,True,False,False,False
51.0,3.1,4.0,26.5,10.8,48.4,2.0,9.0,105.01,4.0,30.4,8.4,13.4,10.0,4.0,9.8,16.7,2.0,1033.49,1250.0,0,False,False,False,False,False,False,False,False,False,False,True,False
25.0,3.4,3.0,15.1,7.5,55.4,1.0,13.0,121.69,95.0,74.64,1.9,19.5,4.0,3.0,34.7,21.8,3.0,1352.64,2510.0,0,True,False,False,False,False,False,False,False,False,False,False,True
29.0,3.7,7.0,32.1,4.3,58.5,8.0,8.0,160.08,23.0,85.4,3.6,16.8,5.0,5.0,15.1,17.7,2.0,1510.0,1257.0,0,False,False,False,False,False,False,False,True,False,False,True,False
40.0,6.5,20.0,35.9,11.7,49.2,6.0,14.0,136.75,7.0,7.4,9.1,34.9,4.0,3.0,59.7,21.6,5.0,2062.98,3812.0,0,True,False,False,False,False,False,False,True,False,False,True,False
38.0,2.7,23.0,22.0,10.9,51.3,9.0,14.0,112.92,12.0,16.5,3.0,27.1,5.0,2.0,39.8,16.6,5.0,1796.47,2324.0,0,False,False,False,False,False,True,False,False,False,False,False,False
63.0,4.8,7.0,20.3,9.7,52.9,2.0,11.7,105.07,134.0,53.279999999999994,4.2,0.0,9.0,1.0,26.2,2.3,1.0,768.71,1220.0,1,True,False,False,False,False,False,False,True,False,False,False,True
40.0,2.8,8.0,18.4,4.5,54.2,5.0,9.0,190.55,79.0,30.2,14.6,3.8,5.0,1.0,2.8,7.8,2.0,1407.36,342.0,0,False,False,False,False,False,False,False,True,False,True,False,False
48.0,7.4,4.0,25.7,3.5,96.2,1.0,2.0,67.68,57.0,34.1,9.1,4.1,11.0,1.0,0.0,7.3,2.0,155.09,1820.0,1,False,False,False,False,False,False,False,False,True,True,False,False
28.0,2.3,19.0,41.2,7.7,65.7,7.0,19.5,105.5,48.0,42.959999999999994,6.9,43.4,8.0,5.0,19.6,35.5,1.0,1658.7,3266.0,0,False,False,False,False,False,False,False,False,False,False,False,True
32.0,3.4,34.0,42.5,17.8,21.5,9.0,21.0,92.24,29.0,63.0,5.2,54.3,3.0,7.0,72.1,36.9,3.0,1976.14,2973.0,0,False,False,False,False,False,False,False,True,False,False,False,False
30.0,5.2,7.0,26.9,5.3,73.9,5.0,10.4,227.67,51.0,65.28,8.3,16.9,8.0,1.0,19.8,19.4,2.0,2115.26,1199.0,1,False,False,False,True,False,False,False,False,False,False,False,True
42.0,2.7,25.0,49.0,15.1,20.7,6.0,29.9,276.45,20.0,62.04,5.9,18.8,0.0,5.0,58.8,23.8,1.0,6014.45,3734.0,0,True,False,False,True,False,False,False,False,False,False,False,True
22.0,0.9,13.0,37.3,12.0,52.0,9.0,21.0,73.79,17.0,17.6,9.9,48.2,6.0,2.0,50.9,27.6,2.0,1615.4,2181.0,1,False,False,False,False,False,False,False,False,True,True,False,False
63.0,4.8,11.0,33.6,7.8,62.6,7.0,18.2,98.03,6.0,11.4,13.9,18.0,3.0,4.0,51.3,12.8,2.0,1355.41,2330.0,0,True,False,False,False,False,False,False,False,True,False,False,True
32.0,7.3,2.0,22.2,9.4,62.0,0.0,9.1,111.77,0.0,86.04,5.5,15.9,6.0,2.0,8.7,12.9,2.0,859.59,428.0,0,False,False,False,False,True,False,False,False,False,False,False,True
26.0,1.9,7.0,21.9,6.3,61.3,2.0,7.0,89.4,9.0,81.6,5.2,12.7,8.0,1.0,17.5,10.1,1.0,647.51,1213.0,0,False,False,False,False,False,False,False,False,True,False,False,False
23.0,4.5,4.0,14.3,6.0,85.4,2.0,6.5,160.49,30.0,74.75999999999999,1.8,17.5,3.0,1.0,9.2,14.9,2.0,678.23,0.0,1,True,False,True,False,False,False,False,False,False,False,False,True
57.0,9.7,3.0,18.4,11.0,67.4,3.0,9.0,115.64,2.0,24.0,5.0,15.1,5.0,6.0,0.0,9.2,4.0,958.64,1610.0,0,False,False,False,False,False,False,False,False,True,True,False,False
43.0,2.1,9.0,20.5,4.1,59.1,2.0,4.0,75.58,20.0,40.1,6.5,4.4,3.0,0.0,0.0,10.4,2.0,273.08,1597.0,0,False,False,False,False,False,True,False,False,False,False,False,False
40.0,2.4,20.0,37.7,13.2,39.2,6.0,18.0,178.7,19.0,48.4,3.2,31.2,4.0,7.0,41.6,29.2,2.0,2925.35,3609.0,0,False,False,False,False,False,False,False,False,True,False,True,False
38.0,2.0,3.0,9.4,4.8,54.4,0.0,3.0,91.96,5.0,50.2,6.5,13.7,9.0,0.0,22.8,0.8,2.0,301.49,1629.0,0,True,False,False,False,False,False,False,False,True,True,False,False
18.0,2.7,16.0,24.7,11.0,38.0,1.0,7.0,120.92,25.0,63.1,9.3,24.2,7.0,2.0,0.0,17.5,3.0,907.54,1938.0,0,True,False,False,False,True,False,False,False,False,False,False,False
36.0,2.2,8.0,17.8,4.5,43.0,2.0,6.0,67.65,24.0,78.2,0.5,0.0,7.0,1.0,34.4,32.9,2.0,386.83,1661.0,0,True,False,False,False,False,False,False,True,False,False,True,False
45.0,4.2,12.0,19.7,5.2,59.9,4.0,4.0,94.25,0.0,39.2,5.4,11.1,8.0,1.0,28.4,13.1,2.0,344.57,1052.0,0,True,False,False,False,False,False,False,False,True,True,False,False
30.0,1.5,3.0,22.4,4.3,68.0,2.0,4.0,91.21,8.0,63.7,2.7,5.6,8.0,3.0,0.0,10.5,1.0,402.78,427.0,0,True,False,False,False,False,False,False,True,False,False,False,False
32.0,2.2,1.0,27.2,3.6,80.2,3.0,6.5,175.65,7.0,23.28,2.4,12.0,8.0,0.0,33.9,13.1,3.0,869.59,790.0,1,False,False,True,False,False,False,False,False,False,False,False,True
30.0,3.1,28.0,31.9,13.1,30.4,5.0,23.0,89.69,25.0,3.3,10.2,22.8,8.0,4.0,59.9,28.0,1.0,2266.61,1859.0,1,True,False,False,False,False,False,False,False,False,True,False,False
42.0,8.8,39.0,69.1,20.9,1.3,10.0,37.7,79.85,23.0,44.4,0.6,61.0,1.0,7.0,84.4,48.5,2.0,2659.41,4963.0,0,False,False,False,False,False,False,False,False,True,False,False,True
48.0,5.2,0.0,13.9,5.6,73.5,2.0,4.0,77.48,28.0,32.3,6.2,2.6,4.0,1.0,0.0,14.5,2.0,292.9,1551.0,1,False,False,False,False,False,True,False,False,False,False,False,False
47.0,2.0,5.0,24.8,9.8,64.1,5.0,8.0,120.0,13.0,55.3,8.8,24.5,10.0,2.0,20.0,27.9,2.0,987.61,3187.0,0,False,False,False,False,False,False,False,True,False,True,False,False
45.0,1.2,0.0,19.0,1.0,79.3,2.0,6.5,87.42,42.0,54.24,0.3,18.4,8.0,0.0,0.0,9.9,3.0,499.21,0.0,1,False,False,False,False,False,False,False,False,True,False,False,True
31.0,1.0,12.0,10.9,7.5,73.4,5.0,6.0,254.81,15.0,61.7,9.8,0.0,4.0,1.0,0.0,23.9,4.0,1822.31,1772.0,0,True,False,False,False,False,False,False,True,False,False,True,False
53.0,1.3,10.0,19.2,3.5,70.8,1.0,4.0,51.84,4.0,19.8,4.7,13.2,8.0,0.0,13.4,20.2,2.0,182.4,1065.0,0,False,False,False,False,False,False,False,False,True,False,False,False
30.0,1.8,0.0,13.7,7.6,70.2,0.0,5.0,140.96,26.0,28.4,4.9,0.0,7.0,0.0,3.7,12.0,1.0,604.46,1606.0,1,True,False,False,False,False,False,False,False,True,True,False,False
51.0,0.2490930928061621,16.0,31.4,7.4,66.7,8.0,66.0,71.92,15.0,9.9,81.5135327608781,24.0,3.0,1.0,38.5,16.0,1.0,575.58,1384.0,0,False,False,False,False,False,True,False,False,False,False,False,False
38.0,2.9,25.0,31.9,11.6,45.2,4.0,19.5,52.49,11.0,25.92,2.3,35.9,7.0,8.0,32.0,23.0,1.0,788.39,2496.0,0,False,False,False,False,True,False,False,False,False,False,False,True
41.0,3.0,24.0,41.2,12.0,41.6,12.0,21.0,80.88,5.0,35.6,17.3,27.0,2.0,3.0,38.7,29.4,2.0,1961.64,2716.0,0,True,False,False,False,False,False,False,True,False,False,False,False
36.0,0.5,5.0,16.9,7.7,81.9,1.0,4.0,64.59,4.0,27.9,9.2,8.7,6.0,0.0,9.0,15.0,4.0,226.45,173.0,1,False,False,False,False,False,False,False,False,True,False,False,False
45.0,4.6,15.0,30.5,8.7,53.6,5.0,11.0,90.67,26.0,30.3,8.5,19.9,8.0,3.0,24.9,14.7,2.0,990.71,2475.0,0,False,False,True,False,False,False,False,False,False,False,False,False
63.0,4.7,12.0,27.0,4.0,84.9,6.0,9.0,77.94,58.0,38.4,1.6,8.0,5.0,2.0,28.8,17.5,4.0,587.19,2324.0,1,False,False,False,False,False,True,False,False,False,False,False,False
